case,source,dp,time_mid,interface_index,interface_r_over_R,fv_gradient_flux
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,5,0.9,0.6413800744044157
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,6,0.95,-0.21322588418667987
mode5_mls_dp010,C5j mode5 MLS,0.01,0.0055295,7,1.0,24.862862302905132
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,0,0.0,0.0
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,1,0.2,0.004705793429508529
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,2,0.4,0.06344594646389567
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,3,0.6,-0.04302132765206286
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,4,0.8,0.38221989115740246
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,5,0.9,1.2406120261854123
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,6,0.95,-0.741700225861467
mode6_shell_dp008,C5k mode6 shell,0.008,0.000523,7,1.0,47.95639477322805
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,0,0.0,0.0
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,1,0.2,0.008172979631006352
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,2,0.4,0.06358658737693641
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,3,0.6,-0.007361709782627977
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,4,0.8,0.5747827936213232
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,5,0.9,1.6891280971228158
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,6,0.95,-0.6196461019023595
mode6_shell_dp008,C5k mode6 shell,0.008,0.0015285000000000001,7,1.0,39.40802724041476
mode6_shell_dp008,C5k mode6 shell,0.008,0.0025335,0,0.0,0.0
